=== Creating logs directory ===
=== Changing to work directory ===
=== Building bench_read_1pz ===
=== Picking sample files ===
Found and selected 100 files
=== Running benchmark with n_threads=32 (full per-file output) ===
path,file_size,n_cells,nnz,decoded_bytes,cold_ms,warm_ms
/mnt/home/besleya/quant/GSE254513/GSM8045361/counts.1pz,362322,1133,46389,375648,3.39201,3.07206
/mnt/home/besleya/quant/GSE266546/GSM8249734/counts.1pz,495162,1006,183042,1468364,8.92556,8.60142
/mnt/home/besleya/quant/GSE260842/GSM8125234/counts.1pz,21571500,7595,25720209,205792056,1677.22,1671.35
/mnt/home/besleya/quant/GSE261110/GSM8135397/counts.1pz,38912553,25942,49870498,399067756,3058.98,3048.29
/mnt/home/besleya/quant/GSE266546/GSM8249664/counts.1pz,675271,3079,311893,2507464,13.8341,13.3491
/mnt/home/besleya/quant/GSE114725/GSM3148618/counts.1pz,1179245,2323,928693,7438840,45.3761,46.1549
/mnt/home/besleya/quant/GSE129826/GSM3722730/counts.1pz,22769793,10423,30132042,241098032,1827.25,1823.04
/mnt/home/besleya/quant/GSE236710/GSM7573930/counts.1pz,25531536,91803,32105910,257214496,2143.85,2138.61
/mnt/home/besleya/quant/GSE206391/GSM6252957/counts.1pz,881261,155,803055,6425064,52.2097,51.8181
/mnt/home/besleya/quant/GSE204864/GSM6199105/counts.1pz,982055,1148,679052,5437012,35.2859,34.5079
/mnt/home/besleya/quant/GSE206391/GSM6252955/counts.1pz,709599,203,532123,4257800,32.1609,31.7335
/mnt/home/besleya/quant/GSE183217/GSM5553486/counts.1pz,84593074,342891,105896523,848543752,6379.55,6348.75
/mnt/home/besleya/quant/GSE280311/GSM8594539/counts.1pz,1447495,3282,1579232,12646988,79.3041,78.129
/mnt/home/besleya/quant/GSE206284/GSM6249264/counts.1pz,2633745,12396,2251358,18060452,100.48,99.8004
/mnt/home/besleya/quant/GSE242197/GSM7754835/counts.1pz,24448115,81264,26072509,208905132,1526.14,1523.82
/mnt/home/besleya/quant/GSE216357/GSM6670927/counts.1pz,13910543,7655,17666250,141360624,1052.22,1045.95
/mnt/home/besleya/quant/GSE253903/GSM8029969/counts.1pz,14788132,6656,18073844,144617380,1145.44,1138.59
/mnt/home/besleya/quant/GSE266546/GSM8249650/counts.1pz,1962950,14967,1348256,10845920,56.7976,54.9901
/mnt/home/besleya/quant/GSE266546/GSM8249633/counts.1pz,586415,1981,249716,2005656,11.4893,12.6027
